Date,Signal,Price
2024-09-26,2,198.454345703125
2024-09-27,2,200.3388214111328
2024-09-30,1,201.490966796875
2024-10-01,1,201.2371368408203
2024-10-02,0,203.17039489746094
2024-10-03,1,203.12156677246094
2024-10-04,1,203.36566162109375
2024-10-07,1,203.4144744873047
2024-10-08,0,206.18748474121094
2024-10-09,1,207.0857696533203
2024-10-10,1,206.4608612060547
2024-10-11,0,208.0133819580078
2024-10-14,0,210.8156280517578
2024-10-15,0,211.90919494628906
2024-10-16,0,214.57479858398438
2024-10-17,0,216.71311950683594
2024-10-18,0,217.94338989257812
2024-10-21,0,217.5137939453125
2024-10-22,1,213.8424835205078
2024-10-23,0,215.7367401123047
2024-10-24,0,228.04917907714844
2024-10-25,0,221.0190887451172
2024-10-28,0,222.43484497070312
2024-10-29,1,220.7163848876953
2024-10-30,1,217.5137939453125
2024-10-31,1,217.8945770263672
2024-11-01,1,218.01173400878906
2024-11-04,1,218.9588623046875
2024-11-05,1,221.7513885498047
2024-11-06,0,226.7115020751953
2024-11-07,1,226.02804565429688
2024-11-08,0,229.7578887939453
2024-11-11,0,232.6968994140625
2024-11-12,0,233.36082458496094
2024-11-13,0,235.19647216796875
2024-11-14,1,232.1403350830078
2024-11-15,1,230.05081176757812
2024-11-18,1,231.4373016357422
2024-11-19,1,227.69769287109375
2024-11-20,1,229.9141082763672
2024-11-21,1,230.9979248046875
2024-11-22,1,232.65780639648438
2024-11-25,1,234.27865600585938
2024-11-26,0,239.14114379882812
2024-11-27,0,241.25778198242188
2024-11-29,0,241.98294067382812
2024-12-02,1,239.90550231933594
2024-12-03,1,239.9348907470703
2024-12-04,1,238.200439453125
2024-12-05,1,239.0431671142578
2024-12-06,1,238.8863983154297
2024-12-09,1,224.265869140625
2024-12-10,1,228.812744140625
2024-12-11,2,229.6358642578125
2024-12-12,1,228.5873565673828
2024-12-13,1,227.2840576171875
2024-12-16,1,224.86363220214844
2024-12-17,1,216.27947998046875
2024-12-18,1,216.25990295410156
2024-12-19,1,213.62388610839844
2024-12-20,1,215.88751220703125
2024-12-23,1,217.2104034423828
2024-12-24,1,218.53329467773438
2024-12-26,1,219.18984985351562
2024-12-27,1,218.54312133789062
2024-12-30,1,216.23048400878906
2024-12-31,1,216.299072265625
2025-01-02,1,215.12318420410156
2025-01-03,1,214.7116241455078
2025-01-06,2,208.11671447753906
2025-01-07,2,208.07749938964844
2025-01-08,2,211.19366455078125
2025-01-10,2,207.0583953857422
2025-01-13,2,209.17501831054688
2025-01-14,2,209.88055419921875
