Date,Forecast
2025-11-07,419.78897
2025-11-10,420.05093
2025-11-11,420.1043
2025-11-12,419.8725
2025-11-13,419.24725
2025-11-14,417.73795
2025-11-17,415.58118
2025-11-18,413.04163
2025-11-19,410.123
2025-11-20,407.05905
2025-11-21,403.80515
2025-11-24,400.41528
2025-11-25,397.56946
2025-11-26,395.31543
2025-11-28,393.79105
2025-12-01,392.99377
2025-12-02,392.80676
2025-12-03,393.08167
2025-12-04,394.05573
2025-12-05,395.71603
2025-12-08,397.8887
2025-12-09,400.07687
2025-12-10,402.28607
2025-12-11,404.5403
2025-12-12,406.65778
2025-12-15,408.84424
2025-12-16,411.36563
2025-12-17,414.40985
2025-12-18,417.35727
2025-12-19,420.4645
2025-12-22,423.55368
2025-12-23,426.68747
2025-12-24,429.70285
2025-12-26,432.53186
2025-12-29,434.91916
2025-12-30,436.55774
2025-12-31,437.42258
